,Country,Year,KTOE,Indicator
0,ALB,2010,110.9,Solid fossil fuels
1,AUT,2010,3383.533,Solid fossil fuels
2,BEL,2010,3787.179,Solid fossil fuels
3,BGR,2010,6938.197,Solid fossil fuels
4,CYP,2010,16.779,Solid fossil fuels
5,CZE,2010,18846.975,Solid fossil fuels
6,DEU,2010,79075.728,Solid fossil fuels
7,DNK,2010,3808.941,Solid fossil fuels
8,EST,2010,23.94,Solid fossil fuels
9,ESP,2010,7281.087,Solid fossil fuels
10,FIN,2010,4586.783,Solid fossil fuels
11,FRA,2010,11962.119,Solid fossil fuels
12,HRV,2010,682.451,Solid fossil fuels
13,HUN,2010,2703.315,Solid fossil fuels
14,IRL,2010,1233.085,Solid fossil fuels
15,ISL,2010,90.126,Solid fossil fuels
16,ITA,2010,13673.981,Solid fossil fuels
17,LTU,2010,182.001,Solid fossil fuels
18,LUX,2010,65.576,Solid fossil fuels
19,LVA,2010,106.504,Solid fossil fuels
20,MDA,2010,114.138,Solid fossil fuels
21,MNE,2010,419.716,Solid fossil fuels
22,MKD,2010,1304.849,Solid fossil fuels
23,MLT,2010,0.0,Solid fossil fuels
24,NLD,2010,7541.217,Solid fossil fuels
25,NOR,2010,763.139,Solid fossil fuels
26,POL,2010,55222.218,Solid fossil fuels
27,PRT,2010,1657.624,Solid fossil fuels
28,ROU,2010,6948.709,Solid fossil fuels
29,SRB,2010,7752.569,Solid fossil fuels
30,SWE,2010,2139.284,Solid fossil fuels
31,SVN,2010,1453.379,Solid fossil fuels
32,SVK,2010,3897.234,Solid fossil fuels
33,TUR,2010,31094.639,Solid fossil fuels
34,UKR,2010,38130.913,Solid fossil fuels
35,ALB,2010,0.0,Manufactured gases
36,AUT,2010,0.0,Manufactured gases
37,BEL,2010,0.0,Manufactured gases
38,BGR,2010,0.0,Manufactured gases
39,CYP,2010,0.0,Manufactured gases
40,CZE,2010,0.0,Manufactured gases
41,DEU,2010,0.0,Manufactured gases
42,DNK,2010,0.0,Manufactured gases
43,EST,2010,0.0,Manufactured gases
44,ESP,2010,0.0,Manufactured gases
45,FIN,2010,0.0,Manufactured gases
46,FRA,2010,0.0,Manufactured gases
47,HRV,2010,0.0,Manufactured gases
48,HUN,2010,0.0,Manufactured gases
49,IRL,2010,0.0,Manufactured gases
50,ISL,2010,0.0,Manufactured gases
51,ITA,2010,0.0,Manufactured gases
52,LTU,2010,0.0,Manufactured gases
53,LUX,2010,0.0,Manufactured gases
54,LVA,2010,0.0,Manufactured gases
55,MDA,2010,0.0,Manufactured gases
56,MNE,2010,0.0,Manufactured gases
57,MKD,2010,0.0,Manufactured gases
58,MLT,2010,0.0,Manufactured gases
59,NLD,2010,0.0,Manufactured gases
60,NOR,2010,0.0,Manufactured gases
61,POL,2010,0.0,Manufactured gases
62,PRT,2010,0.0,Manufactured gases
63,ROU,2010,0.0,Manufactured gases
64,SRB,2010,0.0,Manufactured gases
65,SWE,2010,0.0,Manufactured gases
66,SVN,2010,0.0,Manufactured gases
67,SVK,2010,0.0,Manufactured gases
68,TUR,2010,0.0,Manufactured gases
69,UKR,2010,0.0,Manufactured gases
70,ALB,2010,-81.599,Electricity
71,AUT,2010,209.512,Electricity
72,BEL,2010,47.377,Electricity
73,BGR,2010,-726.225,Electricity
74,CYP,2010,0.0,Electricity
75,CZE,2010,-1285.297,Electricity
76,DEU,2010,-1285.899,Electricity
77,DNK,2010,-97.592,Electricity
78,EST,2010,-279.794,Electricity
79,ESP,2010,-716.509,Electricity
80,FIN,2010,902.923,Electricity
81,FRA,2010,-2640.843,Electricity
82,HRV,2010,341.187,Electricity
83,HUN,2010,446.69,Electricity
84,IRL,2010,40.441,Electricity
85,ISL,2010,0.0,Electricity
86,ITA,2010,3797.077,Electricity
87,LTU,2010,515.047,Electricity
88,LUX,2010,349.393,Electricity
89,LVA,2010,75.064,Electricity
90,MDA,2010,260.791,Electricity
91,MNE,2010,0.172,Electricity
92,MKD,2010,122.098,Electricity
93,MLT,2010,0.0,Electricity
